Key,English,Japanese
skillunlocksQuality_armorRogueBootsName,Rogue Boots ,ローグブーツ
skillunlocksQuality_armorRogueGlovesName,Rogue Gloves ,ローググローブ
skillunlocksQuality_armorRogueHelmetName,Rogue Hood ,ローグフード
skillunlocksQuality_armorRogueOutfitName,Rogue Outfit ,ローグ衣装
skillunlocksQuality_armorScavengerBootsName,Scavenger Boots ,スカベンジャーブーツ
skillunlocksQuality_armorScavengerGlovesName,Scavenger Gloves ,スカベンジャーグローブ
skillunlocksQuality_armorScavengerHelmetName,Scavenger Hat ,スカベンジャーハット
skillunlocksQuality_armorScavengerOutfitName,Scavenger Outfit ,スカベンジャー衣装
skillunlocksQuality_carBatteryName,Lead Car Battery ,バッテリー
skillunlocksQuality_gunBotT1JunkSledgeName,Robotic Sledge ,ロボットスレッジ
skillunlocksQuality_gunBotT2JunkTurretName,Robotic Turret ,ロボット砲台
skillunlocksQuality_gunBotT3JunkDroneName,Robotic Drone ,ロボットドローン
skillunlocksQuality_gunBowT0PrimitiveBowName,Primitive Bow ,粗末な弓
skillunlocksQuality_gunBowT1IronCrossbowName,Iron Crossbow ,鉄製クロスボウ
skillunlocksQuality_gunBowT1WoodenBowName,Wooden Bow ,木の弓
skillunlocksQuality_gunBowT3CompoundBowName,Compound Bow ,複合弓
skillunlocksQuality_gunBowT3CompoundCrossbowName,Compound Crossbow ,複合クロスボウ
skillunlocksQuality_gunExplosivesT3RocketLauncherName,Rocket Launcher ,ロケットランチャー
skillunlocksQuality_gunHandgunT0PipePistolName,Pipe Pistol ,パイプピストル
skillunlocksQuality_gunHandgunT1PistolName,Pistol ,ピストル
skillunlocksQuality_gunHandgunT2Magnum44Name,.44 Magnum ,.44マグナム
skillunlocksQuality_gunHandgunT3DesertVultureName,.44 Desert Vulture ,.44 デザートヴァルチャー
skillunlocksQuality_gunHandgunT3SMG5Name,SMG-5
skillunlocksQuality_gunMGT0PipeMachineGunName,Pipe Machine Gun ,パイプマシンガン
skillunlocksQuality_gunMGT1AK47Name,AK-47 Machine Gun ,AK-47マシンガン
skillunlocksQuality_gunMGT2TacticalARName,Tactical Assault Rifle ,タクティカルアサルトライフル
skillunlocksQuality_gunMGT3M60Name,M60 Machine Gun ,M60マシンガン
skillunlocksQuality_gunRifleT0PipeRifleName,Pipe Rifle ,パイプライフル
skillunlocksQuality_gunRifleT1HuntingRifleName,Hunting Rifle ,狩猟ライフル
skillunlocksQuality_gunRifleT2LeverActionRifleName,Lever Action Rifle ,レバーアクションライフル
skillunlocksQuality_gunRifleT3SniperRifleName,Sniper Rifle ,スナイパーライフル
skillunlocksQuality_gunShotgunT0PipeShotgunName,Pipe Shotgun ,パイプショットガン
skillunlocksQuality_gunShotgunT1DoubleBarrelName,Double Barrel Shotgun ,2連ショットガン
skillunlocksQuality_gunShotgunT2PumpShotgunName,Pump Shotgun ,ポンプアクション式ショットガン
skillunlocksQuality_gunShotgunT3AutoShotgunName,Auto Shotgun ,オートショットガン
skillunlocksQuality_meleeToolAxeT1IronFireaxeName,Iron Fireaxe ,鉄製消防斧
skillunlocksQuality_meleeToolAxeT2SteelAxeName,Steel Axe ,鉄鋼斧
skillunlocksQuality_meleeToolAxeT3ChainsawName,Chainsaw ,チェーンソー
skillunlocksQuality_meleeToolPickT1IronPickaxeName,Iron Pickaxe ,鉄つるはし
skillunlocksQuality_meleeToolPickT2SteelPickaxeName,Steel Pickaxe ,鉄鋼つるはし
skillunlocksQuality_meleeToolPickT3AugerName,Auger ,オーガー
skillunlocksQuality_meleeToolRepairT0StoneAxeName,Stone Axe ,石斧
skillunlocksQuality_meleeToolRepairT1ClawHammerName,Claw Hammer ,くぎ抜きハンマー
skillunlocksQuality_meleeToolRepairT3NailgunName,Nailgun ,ネイルガン
skillunlocksQuality_meleeToolSalvageT1WrenchName,Wrench ,レンチ
skillunlocksQuality_meleeToolSalvageT2RatchetName,Ratchet ,ラチェット
skillunlocksQuality_meleeToolSalvageT3ImpactDriverName,Impact Driver ,衝撃ドライバー
skillunlocksQuality_meleeToolShovelT0StoneShovelName,Stone Shovel ,石ショベル
skillunlocksQuality_meleeToolShovelT1IronShovelName,Iron Shovel ,鉄ショベル
skillunlocksQuality_meleeToolShovelT2SteelShovelName,Steel Shovel ,鉄鋼ショベル
skillunlocksQuality_meleeWpnBatonT0PipeBatonName,Pipe Baton ,パイプバトン
skillunlocksQuality_meleeWpnBatonT2StunBatonName,Stun Baton ,スタンバトン
skillunlocksQuality_meleeWpnBladeT0BoneKnifeName,Bone Knife ,骨ナイフ
skillunlocksQuality_meleeWpnBladeT1HuntingKnifeName,Hunting Knife ,狩猟ナイフ
skillunlocksQuality_meleeWpnBladeT3MacheteName,Machete ,マチェーテ
skillunlocksQuality_meleeWpnClubT0WoodenClubName,Wooden Club ,木製棍棒
skillunlocksQuality_meleeWpnClubT1BaseballBatName,Baseball Bat ,ベースボールバット
skillunlocksQuality_meleeWpnClubT3SteelClubName,Steel Club ,鉄鋼製棍棒
skillunlocksQuality_meleeWpnKnucklesT0LeatherKnucklesName,Knuckle Wraps ,ナックルラップ
skillunlocksQuality_meleeWpnKnucklesT1IronKnucklesName,Iron Knuckles ,鉄ナックル
skillunlocksQuality_meleeWpnKnucklesT3SteelKnucklesName,Steel Knuckles ,鉄鋼ナックル
skillunlocksQuality_meleeWpnSledgeT0StoneSledgehammerName,Stone Sledgehammer ,石製スレッジハンマー
skillunlocksQuality_meleeWpnSledgeT1IronSledgehammerName,Iron Sledgehammer ,鉄製スレッジハンマー
skillunlocksQuality_meleeWpnSledgeT3SteelSledgehammerName,Steel Sledgehammer ,鉄鋼製スレッジハンマー
skillunlocksQuality_meleeWpnSpearT0StoneSpearName,Stone Spear ,石槍
skillunlocksQuality_meleeWpnSpearT1IronSpearName,Iron Spear ,鉄槍
skillunlocksQuality_meleeWpnSpearT3SteelSpearName,Steel Spear ,鉄鋼槍
perkUTQI_armorAssassinBoots_q2,Assassin Boots (Q2) ,アサシンブーツ (品質2)
perkUTQI_armorAssassinBoots_q3,Assassin Boots (Q3) ,アサシンブーツ (品質3)
perkUTQI_armorAssassinBoots_q4,Assassin Boots (Q4) ,アサシンブーツ (品質4)
perkUTQI_armorAssassinBoots_q5,Assassin Boots (Q5) ,アサシンブーツ (品質5)
perkUTQI_armorAssassinBoots_q6,Assassin Boots (Q6) ,アサシンブーツ (品質6)
perkUTQI_armorAssassinGloves_q2,Assassin Gloves (Q2) ,アサシングローブ (品質2)
perkUTQI_armorAssassinGloves_q3,Assassin Gloves (Q3) ,アサシングローブ (品質3)
perkUTQI_armorAssassinGloves_q4,Assassin Gloves (Q4) ,アサシングローブ (品質4)
perkUTQI_armorAssassinGloves_q5,Assassin Gloves (Q5) ,アサシングローブ (品質5)
perkUTQI_armorAssassinGloves_q6,Assassin Gloves (Q6) ,アサシングローブ (品質6)
perkUTQI_armorAssassinHelmet_q2,Assassin Hood (Q2) ,アサシンフード (品質2)
perkUTQI_armorAssassinHelmet_q3,Assassin Hood (Q3) ,アサシンフード (品質3)
perkUTQI_armorAssassinHelmet_q4,Assassin Hood (Q4) ,アサシンフード (品質4)
perkUTQI_armorAssassinHelmet_q5,Assassin Hood (Q5) ,アサシンフード (品質5)
perkUTQI_armorAssassinHelmet_q6,Assassin Hood (Q6) ,アサシンフード (品質6)
perkUTQI_armorAssassinOutfit_q2,Assassin Outfit (Q2) ,アサシン衣装 (品質2)
perkUTQI_armorAssassinOutfit_q3,Assassin Outfit (Q3) ,アサシン衣装 (品質3)
perkUTQI_armorAssassinOutfit_q4,Assassin Outfit (Q4) ,アサシン衣装 (品質4)
perkUTQI_armorAssassinOutfit_q5,Assassin Outfit (Q5) ,アサシン衣装 (品質5)
perkUTQI_armorAssassinOutfit_q6,Assassin Outfit (Q6) ,アサシン衣装 (品質6)
perkUTQI_armorAthleticBoots_q2,Athletic Shoes (Q2) ,アスリートシューズ (品質2)
perkUTQI_armorAthleticBoots_q3,Athletic Shoes (Q3) ,アスリートシューズ (品質3)
perkUTQI_armorAthleticBoots_q4,Athletic Shoes (Q4) ,アスリートシューズ (品質4)
perkUTQI_armorAthleticBoots_q5,Athletic Shoes (Q5) ,アスリートシューズ (品質5)
perkUTQI_armorAthleticBoots_q6,Athletic Shoes (Q6) ,アスリートシューズ (品質6)
perkUTQI_armorAthleticGloves_q2,Athletic Gloves (Q2) ,アスリートグローブ (品質2)
perkUTQI_armorAthleticGloves_q3,Athletic Gloves (Q3) ,アスリートグローブ (品質3)
perkUTQI_armorAthleticGloves_q4,Athletic Gloves (Q4) ,アスリートグローブ (品質4)
perkUTQI_armorAthleticGloves_q5,Athletic Gloves (Q5) ,アスリートグローブ (品質5)
perkUTQI_armorAthleticGloves_q6,Athletic Gloves (Q6) ,アスリートグローブ (品質6)
perkUTQI_armorAthleticHelmet_q2,Athletic Hat (Q2) ,アスリートハット (品質2)
perkUTQI_armorAthleticHelmet_q3,Athletic Hat (Q3) ,アスリートハット (品質3)
perkUTQI_armorAthleticHelmet_q4,Athletic Hat (Q4) ,アスリートハット (品質4)
perkUTQI_armorAthleticHelmet_q5,Athletic Hat (Q5) ,アスリートハット (品質5)
perkUTQI_armorAthleticHelmet_q6,Athletic Hat (Q6) ,アスリートハット (品質6)
perkUTQI_armorAthleticOutfit_q2,Athletic Outfit (Q2) ,アスリート衣装 (品質2)
perkUTQI_armorAthleticOutfit_q3,Athletic Outfit (Q3) ,アスリート衣装 (品質3)
perkUTQI_armorAthleticOutfit_q4,Athletic Outfit (Q4) ,アスリート衣装 (品質4)
perkUTQI_armorAthleticOutfit_q5,Athletic Outfit (Q5) ,アスリート衣装 (品質5)
perkUTQI_armorAthleticOutfit_q6,Athletic Outfit (Q6) ,アスリート衣装 (品質6)
perkUTQI_armorBikerBoots_q2,Biker Boots (Q2) ,バイカーブーツ (品質2)
perkUTQI_armorBikerBoots_q3,Biker Boots (Q3) ,バイカーブーツ (品質3)
perkUTQI_armorBikerBoots_q4,Biker Boots (Q4) ,バイカーブーツ (品質4)
perkUTQI_armorBikerBoots_q5,Biker Boots (Q5) ,バイカーブーツ (品質5)
perkUTQI_armorBikerBoots_q6,Biker Boots (Q6) ,バイカーブーツ (品質6)
perkUTQI_armorBikerGloves_q2,Biker Gloves (Q2) ,バイカーグローブ (品質2)
perkUTQI_armorBikerGloves_q3,Biker Gloves (Q3) ,バイカーグローブ (品質3)
perkUTQI_armorBikerGloves_q4,Biker Gloves (Q4) ,バイカーグローブ (品質4)
perkUTQI_armorBikerGloves_q5,Biker Gloves (Q5) ,バイカーグローブ (品質5)
perkUTQI_armorBikerGloves_q6,Biker Gloves (Q6) ,バイカーグローブ (品質6)
perkUTQI_armorBikerHelmet_q2,Biker Helmet (Q2) ,バイカーヘルメット (品質2)
perkUTQI_armorBikerHelmet_q3,Biker Helmet (Q3) ,バイカーヘルメット (品質3)
perkUTQI_armorBikerHelmet_q4,Biker Helmet (Q4) ,バイカーヘルメット (品質4)
perkUTQI_armorBikerHelmet_q5,Biker Helmet (Q5) ,バイカーヘルメット (品質5)
perkUTQI_armorBikerHelmet_q6,Biker Helmet (Q6) ,バイカーヘルメット (品質6)
perkUTQI_armorBikerOutfit_q2,Biker Outfit (Q2) ,バイカー衣装 (品質2)
perkUTQI_armorBikerOutfit_q3,Biker Outfit (Q3) ,バイカー衣装 (品質3)
perkUTQI_armorBikerOutfit_q4,Biker Outfit (Q4) ,バイカー衣装 (品質4)
perkUTQI_armorBikerOutfit_q5,Biker Outfit (Q5) ,バイカー衣装 (品質5)
perkUTQI_armorBikerOutfit_q6,Biker Outfit (Q6) ,バイカー衣装 (品質6)
perkUTQI_armorCommandoBoots_q2,Commando Boots (Q2) ,コマンドーブーツ (品質2)
perkUTQI_armorCommandoBoots_q3,Commando Boots (Q3) ,コマンドーブーツ (品質3)
perkUTQI_armorCommandoBoots_q4,Commando Boots (Q4) ,コマンドーブーツ (品質4)
perkUTQI_armorCommandoBoots_q5,Commando Boots (Q5) ,コマンドーブーツ (品質5)
perkUTQI_armorCommandoBoots_q6,Commando Boots (Q6) ,コマンドーブーツ (品質6)
perkUTQI_armorCommandoGloves_q2,Commando Gloves (Q2) ,コマンドーグローブ (品質2)
perkUTQI_armorCommandoGloves_q3,Commando Gloves (Q3) ,コマンドーグローブ (品質3)
perkUTQI_armorCommandoGloves_q4,Commando Gloves (Q4) ,コマンドーグローブ (品質4)
perkUTQI_armorCommandoGloves_q5,Commando Gloves (Q5) ,コマンドーグローブ (品質5)
perkUTQI_armorCommandoGloves_q6,Commando Gloves (Q6) ,コマンドーグローブ (品質6)
perkUTQI_armorCommandoHelmet_q2,Commando Helmet (Q2) ,コマンドーヘルメット (品質2)
perkUTQI_armorCommandoHelmet_q3,Commando Helmet (Q3) ,コマンドーヘルメット (品質3)
perkUTQI_armorCommandoHelmet_q4,Commando Helmet (Q4) ,コマンドーヘルメット (品質4)
perkUTQI_armorCommandoHelmet_q5,Commando Helmet (Q5) ,コマンドーヘルメット (品質5)
perkUTQI_armorCommandoHelmet_q6,Commando Helmet (Q6) ,コマンドーヘルメット (品質6)
perkUTQI_armorCommandoOutfit_q2,Commando Outfit (Q2) ,コマンドー衣装 (品質2)
perkUTQI_armorCommandoOutfit_q3,Commando Outfit (Q3) ,コマンドー衣装 (品質3)
perkUTQI_armorCommandoOutfit_q4,Commando Outfit (Q4) ,コマンドー衣装 (品質4)
perkUTQI_armorCommandoOutfit_q5,Commando Outfit (Q5) ,コマンドー衣装 (品質5)
perkUTQI_armorCommandoOutfit_q6,Commando Outfit (Q6) ,コマンドー衣装 (品質6)
perkUTQI_armorEnforcerBoots_q2,Enforcer Shoes (Q2) ,執行者靴 (品質2)
perkUTQI_armorEnforcerBoots_q3,Enforcer Shoes (Q3) ,執行者靴 (品質3)
perkUTQI_armorEnforcerBoots_q4,Enforcer Shoes (Q4) ,執行者靴 (品質4)
perkUTQI_armorEnforcerBoots_q5,Enforcer Shoes (Q5) ,執行者靴 (品質5)
perkUTQI_armorEnforcerBoots_q6,Enforcer Shoes (Q6) ,執行者靴 (品質6)
perkUTQI_armorEnforcerGloves_q2,Enforcer Gloves (Q2) ,執行者グローブ (品質2)
perkUTQI_armorEnforcerGloves_q3,Enforcer Gloves (Q3) ,執行者グローブ (品質3)
perkUTQI_armorEnforcerGloves_q4,Enforcer Gloves (Q4) ,執行者グローブ (品質4)
perkUTQI_armorEnforcerGloves_q5,Enforcer Gloves (Q5) ,執行者グローブ (品質5)
perkUTQI_armorEnforcerGloves_q6,Enforcer Gloves (Q6) ,執行者グローブ (品質6)
perkUTQI_armorEnforcerHelmet_q2,Enforcer Sunglasses (Q2) ,執行者サングラス (品質2)
perkUTQI_armorEnforcerHelmet_q3,Enforcer Sunglasses (Q3) ,執行者サングラス (品質3)
perkUTQI_armorEnforcerHelmet_q4,Enforcer Sunglasses (Q4) ,執行者サングラス (品質4)
perkUTQI_armorEnforcerHelmet_q5,Enforcer Sunglasses (Q5) ,執行者サングラス (品質5)
perkUTQI_armorEnforcerHelmet_q6,Enforcer Sunglasses (Q6) ,執行者サングラス (品質6)
perkUTQI_armorEnforcerOutfit_q2,Enforcer Outfit (Q2) ,執行者衣装 (品質2)
perkUTQI_armorEnforcerOutfit_q3,Enforcer Outfit (Q3) ,執行者衣装 (品質3)
perkUTQI_armorEnforcerOutfit_q4,Enforcer Outfit (Q4) ,執行者衣装 (品質4)
perkUTQI_armorEnforcerOutfit_q5,Enforcer Outfit (Q5) ,執行者衣装 (品質5)
perkUTQI_armorEnforcerOutfit_q6,Enforcer Outfit (Q6) ,執行者衣装 (品質6)
perkUTQI_armorFarmerBoots_q2,Farmer Boots (Q2) ,農夫ブーツ (品質2)
perkUTQI_armorFarmerBoots_q3,Farmer Boots (Q3) ,農夫ブーツ (品質3)
perkUTQI_armorFarmerBoots_q4,Farmer Boots (Q4) ,農夫ブーツ (品質4)
perkUTQI_armorFarmerBoots_q5,Farmer Boots (Q5) ,農夫ブーツ (品質5)
perkUTQI_armorFarmerBoots_q6,Farmer Boots (Q6) ,農夫ブーツ (品質6)
perkUTQI_armorFarmerGloves_q2,Farmer Gloves (Q2) ,農夫グローブ (品質2)
perkUTQI_armorFarmerGloves_q3,Farmer Gloves (Q3) ,農夫グローブ (品質3)
perkUTQI_armorFarmerGloves_q4,Farmer Gloves (Q4) ,農夫グローブ (品質4)
perkUTQI_armorFarmerGloves_q5,Farmer Gloves (Q5) ,農夫グローブ (品質5)
perkUTQI_armorFarmerGloves_q6,Farmer Gloves (Q6) ,農夫グローブ (品質6)
perkUTQI_armorFarmerHelmet_q2,Farmer Hat (Q2) ,農夫ハット (品質2)
perkUTQI_armorFarmerHelmet_q3,Farmer Hat (Q3) ,農夫ハット (品質3)
perkUTQI_armorFarmerHelmet_q4,Farmer Hat (Q4) ,農夫ハット (品質4)
perkUTQI_armorFarmerHelmet_q5,Farmer Hat (Q5) ,農夫ハット (品質5)
perkUTQI_armorFarmerHelmet_q6,Farmer Hat (Q6) ,農夫ハット (品質6)
perkUTQI_armorFarmerOutfit_q2,Farmer Outfit (Q2) ,農夫衣装 (品質2)
perkUTQI_armorFarmerOutfit_q3,Farmer Outfit (Q3) ,農夫衣装 (品質3)
perkUTQI_armorFarmerOutfit_q4,Farmer Outfit (Q4) ,農夫衣装 (品質4)
perkUTQI_armorFarmerOutfit_q5,Farmer Outfit (Q5) ,農夫衣装 (品質5)
perkUTQI_armorFarmerOutfit_q6,Farmer Outfit (Q6) ,農夫衣装 (品質6)
perkUTQI_armorHeavyMaster_q2,armor Heavy Master (Q2) ,armor Heavy Master (品質2)
perkUTQI_armorHeavyMaster_q3,armor Heavy Master (Q3) ,armor Heavy Master (品質3)
perkUTQI_armorHeavyMaster_q4,armor Heavy Master (Q4) ,armor Heavy Master (品質4)
perkUTQI_armorHeavyMaster_q5,armor Heavy Master (Q5) ,armor Heavy Master (品質5)
perkUTQI_armorHeavyMaster_q6,armor Heavy Master (Q6) ,armor Heavy Master (品質6)
perkUTQI_armorLightMaster_q2,armor Light Master (Q2) ,armor Light Master (品質2)
perkUTQI_armorLightMaster_q3,armor Light Master (Q3) ,armor Light Master (品質3)
perkUTQI_armorLightMaster_q4,armor Light Master (Q4) ,armor Light Master (品質4)
perkUTQI_armorLightMaster_q5,armor Light Master (Q5) ,armor Light Master (品質5)
perkUTQI_armorLightMaster_q6,armor Light Master (Q6) ,armor Light Master (品質6)
perkUTQI_armorLumberjackBoots_q2,Lumberjack Boots (Q2) ,木こりブーツ (品質2)
perkUTQI_armorLumberjackBoots_q3,Lumberjack Boots (Q3) ,木こりブーツ (品質3)
perkUTQI_armorLumberjackBoots_q4,Lumberjack Boots (Q4) ,木こりブーツ (品質4)
perkUTQI_armorLumberjackBoots_q5,Lumberjack Boots (Q5) ,木こりブーツ (品質5)
perkUTQI_armorLumberjackBoots_q6,Lumberjack Boots (Q6) ,木こりブーツ (品質6)
perkUTQI_armorLumberjackGloves_q2,Lumberjack Gloves (Q2) ,木こりグローブ (品質2)
perkUTQI_armorLumberjackGloves_q3,Lumberjack Gloves (Q3) ,木こりグローブ (品質3)
perkUTQI_armorLumberjackGloves_q4,Lumberjack Gloves (Q4) ,木こりグローブ (品質4)
perkUTQI_armorLumberjackGloves_q5,Lumberjack Gloves (Q5) ,木こりグローブ (品質5)
perkUTQI_armorLumberjackGloves_q6,Lumberjack Gloves (Q6) ,木こりグローブ (品質6)
perkUTQI_armorLumberjackHelmet_q2,Lumberjack Hat (Q2) ,木こりハット (品質2)
perkUTQI_armorLumberjackHelmet_q3,Lumberjack Hat (Q3) ,木こりハット (品質3)
perkUTQI_armorLumberjackHelmet_q4,Lumberjack Hat (Q4) ,木こりハット (品質4)
perkUTQI_armorLumberjackHelmet_q5,Lumberjack Hat (Q5) ,木こりハット (品質5)
perkUTQI_armorLumberjackHelmet_q6,Lumberjack Hat (Q6) ,木こりハット (品質6)
perkUTQI_armorLumberjackOutfit_q2,Lumberjack Outfit (Q2) ,木こり衣装 (品質2)
perkUTQI_armorLumberjackOutfit_q3,Lumberjack Outfit (Q3) ,木こり衣装 (品質3)
perkUTQI_armorLumberjackOutfit_q4,Lumberjack Outfit (Q4) ,木こり衣装 (品質4)
perkUTQI_armorLumberjackOutfit_q5,Lumberjack Outfit (Q5) ,木こり衣装 (品質5)
perkUTQI_armorLumberjackOutfit_q6,Lumberjack Outfit (Q6) ,木こり衣装 (品質6)
perkUTQI_armorMediumMaster_q2,armor Medium Master (Q2) ,armor Medium Master (品質2)
perkUTQI_armorMediumMaster_q3,armor Medium Master (Q3) ,armor Medium Master (品質3)
perkUTQI_armorMediumMaster_q4,armor Medium Master (Q4) ,armor Medium Master (品質4)
perkUTQI_armorMediumMaster_q5,armor Medium Master (Q5) ,armor Medium Master (品質5)
perkUTQI_armorMediumMaster_q6,armor Medium Master (Q6) ,armor Medium Master (品質6)
perkUTQI_armorMinerBoots_q2,Miner Boots (Q2) ,鉱夫ブーツ (品質2)
perkUTQI_armorMinerBoots_q3,Miner Boots (Q3) ,鉱夫ブーツ (品質3)
perkUTQI_armorMinerBoots_q4,Miner Boots (Q4) ,鉱夫ブーツ (品質4)
perkUTQI_armorMinerBoots_q5,Miner Boots (Q5) ,鉱夫ブーツ (品質5)
perkUTQI_armorMinerBoots_q6,Miner Boots (Q6) ,鉱夫ブーツ (品質6)
perkUTQI_armorMinerGloves_q2,Miner Gloves (Q2) ,鉱夫グローブ (品質2)
perkUTQI_armorMinerGloves_q3,Miner Gloves (Q3) ,鉱夫グローブ (品質3)
perkUTQI_armorMinerGloves_q4,Miner Gloves (Q4) ,鉱夫グローブ (品質4)
perkUTQI_armorMinerGloves_q5,Miner Gloves (Q5) ,鉱夫グローブ (品質5)
